"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"29.09.2025","443,21","444,35","450,98","439,50","79,49M","0,64%"
"30.09.2025","444,72","441,52","445,00","433,12","74,36M","0,34%"
"01.10.2025","459,46","443,80","462,29","440,75","98,12M","3,31%"
"02.10.2025","436,00","470,54","470,75","435,57","137,01M","-5,11%"
"03.10.2025","429,83","443,29","446,77","416,58","133,19M","-1,42%"
"06.10.2025","453,25","440,75","453,55","436,69","85,32M","5,45%"
"07.10.2025","433,09","447,82","452,68","432,45","102,30M","-4,45%"
"08.10.2025","438,69","437,57","441,33","425,23","71,19M","1,29%"
"09.10.2025","435,54","431,81","436,35","426,18","69,34M","-0,72%"
"10.10.2025","413,49","436,54","443,13","411,45","112,11M","-5,06%"
"13.10.2025","435,90","423,53","436,89","419,70","79,55M","5,42%"
"14.10.2025","429,24","426,79","434,20","417,86","72,67M","-1,53%"
"15.10.2025","435,15","434,90","440,51","426,33","71,56M","1,38%"
"16.10.2025","428,75","434,73","439,35","421,31","77,19M","-1,47%"
"17.10.2025","439,31","425,50","441,46","423,60","89,33M","2,46%"
"20.10.2025","447,43","443,86","449,80","440,61","63,72M","1,85%"
"21.10.2025","442,60","445,76","449,30","442,05","54,41M","-1,08%"
"22.10.2025","438,97","443,45","445,54","429,00","84,02M","-0,82%"
"23.10.2025","448,98","420,00","449,40","413,90","126,71M","2,28%"
"24.10.2025","433,72","446,83","451,68","430,17","94,73M","-3,40%"
"27.10.2025","452,42","439,98","460,16","438,69","105,87M","4,31%"
"28.10.2025","460,55","454,77","467,00","451,60","80,19M","1,80%"
"29.10.2025","461,51","462,50","465,70","452,65","67,98M","0,21%"
